区域,小区,户型,面积㎡,价格元/月,单价元/㎡,楼层,装修,通勤时间,每月总成本,推荐理由,安居客链接
油坊桥,油坊桥小区,整租一居,45,2000,44,中层(12层),简装,32min,2200,通勤32min直达·预算充裕,https://nj.zu.anjuke.com/fangyuan/?kw=油坊桥
油坊桥,莲花新城,整租一居,50,2500,50,高层(24层),精装,32min,2700,精装一居·情侣住刚好,https://nj.zu.anjuke.com/fangyuan/?kw=莲花新城
油坊桥,西善花苑,整租一居,42,1800,43,中层(11层),简装,32min,2000,极致低价,https://nj.zu.anjuke.com/fangyuan/?kw=西善花苑
油坊桥,七彩星城,整租一居,48,2300,48,高层(20层),精装,32min,2500,近地铁站,https://nj.zu.anjuke.com/fangyuan/?kw=七彩星城
铁心桥,翠屏城,整租一居,42,2600,62,中层(15层),精装,32min,2800,健身配套78家,https://nj.zu.anjuke.com/fangyuan/?kw=翠屏城
铁心桥,托乐嘉,整租一居,45,2800,62,高层(22层),精装,32min,3000,品质小区,https://nj.zu.anjuke.com/fangyuan/?kw=托乐嘉
铁心桥,天元城,整租一居,40,2200,55,低层(6层),简装,32min,2400,低价选择,https://nj.zu.anjuke.com/fangyuan/?kw=天元城
奥体,海峡城,整租一居,48,3500,73,高层(28层),精装,38min,3900,配套1139碾压级·品质生活,https://nj.zu.anjuke.com/fangyuan/?kw=海峡城
奥体,仁恒江湾城,整租一居,52,4000,77,高层(30层),精装,38min,4400,南京标杆小区,https://nj.zu.anjuke.com/fangyuan/?kw=仁恒江湾城
奥体,万科光明城市,整租一居,45,3200,71,中层(18层),精装,38min,3600,万科物业好,https://nj.zu.anjuke.com/fangyuan/?kw=万科光明城市
新街口,金鹰国际花园,整租一居,42,3800,90,高层(30层),精装,46min,4200,配套极佳·通勤略超,https://nj.zu.anjuke.com/fangyuan/?kw=金鹰国际花园
新街口,珠江路小区,整租一居,40,3200,80,中层(8层),简装,46min,3600,地铁直达·性价比,https://nj.zu.anjuke.com/fangyuan/?kw=珠江路小区
江宁大学城,翠屏清华园,整租一居,45,2000,44,中层(12层),简装,74min,2200,通勤超标但极便宜,https://nj.zu.anjuke.com/fangyuan/?kw=翠屏清华园
天润城,天润城小区,整租一居,40,1800,45,中层(15层),简装,106min,2000,只适合开车通勤,https://nj.zu.anjuke.com/fangyuan/?kw=天润城
