﻿区域,小区,户型,面积㎡,价格元/月,单价元/㎡,楼层,装修,类型,通勤时间,每月总成本,推荐理由,安居客链接
西丽,西丽花园,合租主卧,22,2200,100,中层(18层),精装,合租,10min,2400,骑行10min到大疆 西丽核心位置 美食街旁,https://sz.zu.anjuke.com/fangyuan/?kw=西丽花园整租
西丽,宝珠花园,合租单间,16,1800,113,高层(26层),精装,合租,10min,2000,价格适中 骑行到大疆 周边配套齐全,https://sz.zu.anjuke.com/fangyuan/?kw=宝珠花园整租
西丽,丽新花园,整租一居,35,3200,91,中层(12层),精装,整租,10min,3400,整租独立空间 适合预算充足,https://sz.zu.anjuke.com/fangyuan/?kw=丽新花园整租
西丽,西丽湖畔,合租主卧,20,2000,100,低层(8层),简装,合租,10min,2200,性价比高 近西丽湖 骑行到大疆,https://sz.zu.anjuke.com/fangyuan/?kw=西丽湖畔整租
桃源村,桃源村,合租主卧,22,2000,91,中层(22层),精装,合租,15min,2200,步行15min到大疆 靠塘朗山 环境好,https://sz.zu.anjuke.com/fangyuan/?kw=桃源村整租
桃源村,桃源村,合租单间,15,1500,100,低层(7层),简装,合租,15min,1700,价格低 步行到大疆 老牌社区,https://sz.zu.anjuke.com/fangyuan/?kw=桃源村整租
桃源村,崇文花园,整租一居,38,3500,92,高层(28层),精装,整租,15min,3700,整租一居 近桃源村地铁站,https://sz.zu.anjuke.com/fangyuan/?kw=崇文花园整租
桃园,桃园小区,合租主卧,20,2100,105,中层(15层),精装,合租,20min,2300,地铁1号线20min到大疆 南山核心商圈,https://sz.zu.anjuke.com/fangyuan/?kw=桃园小区整租
桃园,南山市场小区,合租单间,14,1600,114,低层(8层),简装,合租,20min,1800,南山最便宜档 1号线直达,https://sz.zu.anjuke.com/fangyuan/?kw=南山市场小区整租
桃园,缤纷年华,整租一居,32,3000,94,高层(30层),精装,整租,20min,3200,近南山地铁站 商圈成熟,https://sz.zu.anjuke.com/fangyuan/?kw=缤纷年华整租
前海,前海时代广场,合租主卧,18,2000,111,高层(32层),精装,合租,25min,2200,前海新城区 5号线直达 配套新,https://sz.zu.anjuke.com/fangyuan/?kw=前海时代广场整租
前海,前海花园,合租单间,14,1500,107,中层(18层),简装,合租,25min,1700,价格适中 5号线直达,https://sz.zu.anjuke.com/fangyuan/?kw=前海花园整租
前海,龙光世纪,整租一居,35,3000,86,高层(28层),精装,整租,25min,3200,前海新盘 整租独立空间,https://sz.zu.anjuke.com/fangyuan/?kw=龙光世纪整租
宝安中心,宝安中心花苑,合租主卧,20,1800,90,中层(22层),精装,合租,30min,2000,宝安中心区 5号线直达 大型商业配套,https://sz.zu.anjuke.com/fangyuan/?kw=宝安中心花苑整租
宝安中心,西城上筑,合租单间,15,1400,93,高层(26层),简装,合租,30min,1600,价格低 5号线直达 近壹方城,https://sz.zu.anjuke.com/fangyuan/?kw=西城上筑整租
宝安中心,天悦龙庭,整租一居,33,2800,85,中层(16层),精装,整租,30min,3000,宝安中心整租首选 壹方城旁,https://sz.zu.anjuke.com/fangyuan/?kw=天悦龙庭整租
宝安中心,幸福海岸,合租单间,16,1300,81,低层(8层),简装,合租,30min,1500,宝安中心最便宜档 适合极致省钱,https://sz.zu.anjuke.com/fangyuan/?kw=幸福海岸整租
