﻿排名,区域,维度,地铁线,通勤时间,换乘次数,参考租金(合租单间),配套数,综合评分,画像标签,每月总成本
1,西丽,步行/骑行,骑行10min/步行25min,10min,0,2000,158,85,🍜美食丰富 🏘成熟社区 🚇交通枢纽,2200
2,桃源村,步行,步行15min,15min,0,1800,105,82,🌿靠山环境好 🏘成熟社区,2000
3,龙井,地铁,7号线,8min,0,1700,78,80,🌿安静宜居,1900
4,珠光,地铁,7号线,12min,0,1600,92,79,🍜美食丰富,1800
5,桃园,地铁,1号线,20min,0,1900,145,80,🍜美食丰富 🛒采购便利,2100
6,南山,地铁,11号线,18min,0,2200,168,82,🏢科技园集中 🚇交通枢纽,2400
7,前海,地铁,5号线,25min,0,1800,115,78,🏗新城区 🏢写字楼集中,2000
8,宝安中心,地铁,5号线,30min,0,1600,135,77,🛒大型商业 🏘成熟社区,1800
9,大新,地铁,1号线,25min,0,1500,88,76,🏘成熟社区,1700
10,南山中心,地铁,1号线→换11号线,22min,1,2300,175,81,🍜美食丰富 ☕文艺氛围,2500
11,前海湾,地铁,1号线,25min,0,2000,105,76,🏗新城区,2200
12,西乡,地铁,1号线,30min,0,1300,112,75,🍜美食丰富 🛒采购便利,1500
13,固戉,公交,公交直达,35min,0,1200,85,73,🏘城中村密集 价格低,1400
14,龙华,地铁,4号线→换乘,40min,1,1400,155,75,🛒大型商业 🍜美食丰富,1600
15,华侨城,地铁,1号线,15min,0,2500,130,79,🌿景区周边 ☕文艺氛围,2700
16,蛇口,地铁,2号线→换乘,28min,1,2100,148,80,🌊海景 ☕文艺氛围 🍜美食丰富,2300
17,科技园,地铁,1号线,12min,0,2400,125,78,🏢科技园集中,2600
18,沙井,公交,公交+换乘,45min,0,1000,95,70,💰价格最低,1200
19,宝安老城,公交,公交直达,38min,0,1100,108,72,🏘城中村密集 🛒采购便利,1300
20,碧海湾,地铁,11号线,22min,0,1700,88,76,🌊近海,1900
