排名,区域,维度,地铁线,通勤时间,换乘次数,参考租金(合租单间),配套数,综合评分,画像标签,每月总成本
1,奥体,步行/骑行,步行20min/骑行8min,8min,0,2000,120,82,💪运动友好,2200
2,新街口,地铁,2号线,25min,0,2200,180,85,🍜美食丰富 ☕文艺氛围 🚇交通枢纽,2400
3,河西中部,步行,步行15min,15min,0,1800,95,78,,2000
4,天润城,地铁,3号线→换乘2号线,35min,1,1000,98,76,🍜美食丰富 🛒采购便利,1200
5,油坊桥,地铁,2号线,10min,0,1200,76,75,🏘️成熟社区,1400
6,奥体中心,地铁,10号线,10min,0,1800,110,79,,2000
7,雨润大街,地铁,2号线,5min,0,1600,88,77,,1800
8,大行宫,地铁,3号线→换乘2号线,28min,1,1500,120,76,🍜美食丰富 ☕文艺氛围,1700
9,兴隆大街,地铁,2号线,15min,0,1500,82,74,,1700
10,常府街,地铁,3号线→换乘2号线,30min,1,1300,90,73,,1500
11,集庆门大街,地铁,2号线,20min,0,1400,95,73,,1600
12,中胜,地铁,10号线,8min,0,1500,70,72,,1700
13,江宁大学城,公交,公交直达,45min,0,800,115,72,☕文艺氛围 💪运动友好,1000
14,迈皋桥,地铁,1号线→换乘2号线,40min,1,1100,85,72,,1300
15,梦都大街,地铁,10号线,12min,0,1400,65,70,,1600
16,红山动物园,地铁,1号线→换乘2号线,42min,1,1050,78,70,,1250
17,浮桥,地铁,3号线→换乘2号线,32min,1,1250,85,71,,1450
18,仙林大学城,公交,公交+换乘,50min,1,900,105,70,,1100
19,桥北,公交,公交+换乘,40min,1,950,88,68,,1150
20,板桥,公交,公交直达,35min,0,750,60,65,,950
